segment,segment_definition,n_obs,price_elasticity_coef,std_err,p_value,r_squared,uber_market_share,uber_revenue_share,total_uber_trips,total_lyft_trips,total_rideshare_trips,total_trips,total_uber_revenue,total_lyft_revenue,total_market_revenue,uber_share_among_hvfhv_logit,uber_share_logit,avg_uber_fare_per_mile,avg_uber_take_rate,avg_uber_wait_time,avg_lyft_fare_per_mile,avg_lyft_take_rate,avg_lyft_wait_time,log_rel_fare_per_mile,opportunity_score,significant_10pct,significant_5pct
Manhattan | low_rain | Evening | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",132,-0.4709310221691122,0.18097546050713884,0.00926327733504922,0.2334768652372471,0.7113430573196214,0.7825080483443948,27778800,11272400,39051200,57179810.0,320964877.27798426,89209660.80768953,410174538.0856738,0.8940807842174329,-0.06723141439035979,9.705508810662206,0.25015161102564226,4.6730873403717474,8.207851332461251,0.22630666396223126,4.82098130697682,0.10800417904537143,9.339547984668725,True,True
Queens | no_rain | Morning | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",954,-0.4277313460585561,0.0799704915717955,8.86300036859301e-08,0.13658179938566306,0.7240035504973128,0.7299683929231148,95269600,36317600,131587200,172171432.0,699683660.718293,258828608.44510412,958512269.1633971,0.9663856212145867,0.21287979218860323,6.331412137023878,0.20151658085606247,4.693418993725294,6.3026673695471445,0.21224074345253605,4.605349703801388,-0.0015070716721432486,8.8458661671303,True,True
Manhattan | no_rain | Evening | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",324,-0.42041850289439253,0.12332750588152441,0.0006521110180511639,0.22876680488956758,0.7055547121114358,0.7666070883773668,59485600,24824800,84310400,123673307.0,578529604.9437691,176132873.02562916,754662477.9693983,0.8714958020779509,-0.07546419203531327,8.802747156000228,0.23006896617420142,4.329255228849845,7.432366574070685,0.21413143418353042,4.52281245783968,0.08638850625910796,8.594103031586513,True,True
Manhattan | high_rain | Evening | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",306,-0.408377521064199,0.1093285579361858,0.0001874741029721067,0.07792329432658884,0.719984464189083,0.8223977606109829,65993200,25666000,91659200,139571675.0,1088801570.2357965,235133905.25345406,1323935475.4892504,0.9447531783333294,-0.09681185952448867,10.621104754472178,0.29396708014981093,4.74882253201894,8.1897098128725,0.2454831282922199,5.001653483975185,0.18411879994900388,8.577510225353741,True,True
Queens | no_rain | Late Night | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",826,-0.40764618430543437,0.09345531806941283,1.2891615566622654e-05,0.03365969024809068,0.7024134470176624,0.6886574904986252,29954000,12690400,42644400,49995613.0,216132627.62865812,97713704.70727047,313846332.33592856,0.881919905725547,0.4676831324942215,5.282646737987703,0.19578176565309285,5.883695233222487,5.169490070479604,0.2171047706447592,5.689694890716977,-0.0010027639957227636,7.975358731497963,True,True
Brooklyn | high_rain | Evening | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",213,-0.3946087764201317,0.2751842429171858,0.151577891760107,0.12136922022149843,0.7114524499696182,0.6815218595748808,28568800,11586800,40155600,45490264.0,139222664.99203667,65059359.18086496,204282024.17290163,0.9083330173173086,0.5320514542106053,7.086585454391891,0.18288307313689706,4.486011741686356,7.251543970204877,0.22725055997879504,4.399949465384744,-0.03350664562205079,7.5508437010710585,False,False
Brooklyn | high_rain | Late Night | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",125,0.42283016854085415,0.283816637667146,0.13627669978574464,0.1205664549390848,0.6799728303464131,0.7015492682677725,5205600,2450000,7655600,8728940.0,36611700.571215846,15575226.601576269,52186927.172792114,0.7422739481530098,0.38656290476541394,5.994950155005482,0.214575632527295,5.30953552133382,5.978547930138027,0.2142760467081396,5.107539494298449,-0.0034868061634341315,7.513836958002044,False,False
Queens | no_rain | Afternoon | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",324,-0.38179902337458044,0.13010155381711344,0.0033395307252372048,0.22562107842672396,0.736226706183265,0.6901767975117113,36268000,12994000,49262000,59842538.0,221636970.3059871,99493747.3667208,321130717.6727079,1.0343217798089173,0.4323795382398258,5.981505888095704,0.157222815404689,4.883460555143688,6.1636036377987695,0.20254505519965998,4.711446195142748,-0.043048503205219184,7.478434468528865,True,True
Brooklyn | no_rain | Morning | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",274,-0.38838303215240677,0.1699334213169354,0.022283458276838454,0.07211023663033467,0.7126866082741145,0.7124564118475907,25874800,10431200,36306000,43906457.0,152419612.40059415,61515738.40259282,213935350.80318695,0.904482942364043,0.3597482531310464,6.399108086260414,0.1953389938660524,4.755415372738456,6.345179794235922,0.2068702037253745,4.776863371801624,0.006816843709612199,7.449646570350963,True,True
Queens | high_rain | Afternoon | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",306,-0.36914838370763076,0.12747547064078535,0.0037814687826206836,0.058220910917817004,0.7328515357298611,0.7215326202496437,32936400,12006400,44942800,57435526.0,240615781.2190531,92862947.90036249,333478729.1194156,1.013664499091645,0.29365249123299625,6.747589313034842,0.18738561136187604,4.741198372446104,6.7492419731288065,0.2090610904065129,4.621507286381226,-0.0047205184249279305,7.244570122027639,True,True
